37310;B;5550;1.01.1995;23.00;N;L;97099;OSTALE LOKALNE;0;NI ODSEKOV;;C;HI;ÈT;N;E;AZ;PN
37357;S;5514;2.01.1995;19.55;D;M;1;KORENSKO SEDLO - BREGANA;368;HRUŠICA-JAVORNIK;0;R;HI;PP;J;N;AZ;SU
37362;B;5526;5.01.1995;nov.45;D;R;0371A;LJ. TOMAÈEVSKA-KAJUHOVA;1435;KAJUHOVA CESTA;55;R;PD;ÈT;O;N;AH;SU
37372;B;5524;5.01.1995;18.45;N;M;10;ŠENTILJ - DEKANI;295;TRZIN-ÈRNUÈE;;R;PD;TO;O;N;AH;SU
37375;L;5518;4.01.1995;22.00;N;R;322;ŽIROVNICA-TRZIN;1134;TRŽIÈ-KOKRICA;;C;SV;PR;J;N;AZ;SU
37385;B;5528;1.01.1995;14.50;D;V;28177;VELIKE LAŠÈE;0;NI ULIC;;P;PV;TV;J;R;AZ;SU
37387;B;5525;1.01.1995;apr.30;D;N;25001;LJUBLJANA;25067;KERSNIKOVA ULICA;;C;PV;TV;D;N;AH;SP
37388;B;5568;2.01.1995;12.00;D;V;68010;LOBNICA;0;NI ULIC;;P;PV;OP;J;G;AH;SL
37391;B;5523;2.01.1995;21.40;D;M;010-9;ÈRNUÈE - ZIDANI MOST;1182;RIBÈE-LITIJA;33;C;SV;OP;J;N;AH;SU
37394;B;5525;1.01.1995;00.30;D;M;10;ŠENTILJ - DEKANI;298;LJ(DEL.DOM-TRG MDB);32;C;HI;NT;D;G;AH;MO
37397;B;5502;5.01.1995;15.30;D;N;2014;BREŽICE;66;OB STADIONU;;C;VR;NT;S;N;AH;SN
37401;B;5525;1.01.1995;00.45;D;N;25001;LJUBLJANA;25218;KONGRESNI TRG;;C;PV;TV;O;G;AH;SU
37409;H;5526;5.01.1995;21.15;D;R;330;LJUBLJANA-JURKLOŠTER;1188;LJ(ZA GRADOM)-ZADVOR;62;R;PD;BT;O;R;AH;SU
37416;L;5527;1.01.1995;00.45;D;M;1;KORENSKO SEDLO - BREGANA;371;LJ(OBVOZNICA-DEL.DOM);90;R;HI;NT;D;G;AH;SP
37418;H;5541;1.01.1995;6.okt;D;N;41040;PRESTRANEK;4;ULICA 25. MAJA;;C;SV;ÈT;D;R;AH;MO
37421;B;5525;1.01.1995;08.00;D;N;25001;LJUBLJANA;25205;ZALOŠKA CESTA;;C;PV;OP;D;R;AH;MO
37430;B;5524;1.01.1995;14.45;D;N;25001;LJUBLJANA;24133;TOMAÈEVSKA CESTA;;C;HI;BT;O;R;AH;SP
37435;B;5508;3.01.1995;14.40;D;N;8014;GORNJA RADGONA;8;KERENÈIÈEVA ULICA;;P;PV;OS;J;R;AH;SU
37443;B;5510;5.01.1995;13.00;D;N;10007;HRASTNIK-HRASTNIK;11;NOVI DOM;;C;HI;TV;S;N;AH;PN
37444;B;5536;2.01.1995;okt.20;D;N;36080;MURSKA SOBOTA;13;GREGORÈIÈEVA ULICA;;C;PD;BT;J;N;AH;SU
37446;B;5526;1.01.1995;jul.40;D;R;0371A;LJ. TOMAÈEVSKA-KAJUHOVA;1435;KAJUHOVA CESTA;60;R;VR;NT;D;R;AH;MO
37451;B;5504;1.01.1995;2.okt;D;V;4022;FARA-CERKNICA;0;NI ULIC;;P;PV;BT;D;R;MA;MO
37452;B;5514;5.01.1995;12.00;N;M;001-2;RATEÈE - PODKOREN;233;RATEÈE-PODKOREN;;P;PV;BT;J;R;AH;SU
37453;L;5502;2.01.1995;20.00;D;V;2041;GLOBOKO-BREŽICE;0;NI ULIC;;C;HI;PR;M;R;AH;PN
37455;B;5524;1.01.1995;19.20;N;M;010-9;ÈRNUÈE - ZIDANI MOST;1180;ÈRNUÈE-ŠENTJAKOB;;C;SV;OP;O;R;AH;MO
37457;B;5522;3.01.1995;20.25;D;V;22013;GABERJE-LENDAVA;0;NI ULIC;;C;HI;ÈT;J;R;AZ;SU
37460;B;5546;5.01.1995;13.00;D;M;6;ŠKOFLJICA - BROD NA KOLPI;263;ŽLEBIÈ-KOÈEVJE;30;C;HI;TO;S;N;AZ;SL
37461;L;5528;2.01.1995;00.50;D;N;25001;LJUBLJANA;28135;OPEKARSKA CESTA;;C;HI;TO;O;R;AH;SP
37464;B;5526;2.01.1995;2.maj;D;N;25001;LJUBLJANA;25205;ZALOŠKA CESTA;;R;PD;BT;O;R;AH;MO
37468;B;5538;5.01.1995;15.00;D;V;38228;POTOK-NOVO MESTO;0;NI ULIC;;C;HI;BT;O;R;AH;PN
37469;B;5528;2.01.1995;dec.30;D;R;376;LJUBLJANICA-VIÈ(LJ);1369;LJUBLJANICA-LJ.VIC;41;C;PR;ÈT;J;R;AH;SU
37471;B;5558;1.01.1995;13.15;N;M;001-1;LJUBELJ - PODTABOR;232;LJUBELJ-BISTRICA;;P;PV;TV;O;G;AH;MO
37476;B;5512;3.01.1995;12.jan;N;M;010-4;POSTOJNA-PIVKA-MEJA RH;341;PREM-IL.BISTRICA;;C;PR;OP;J;N;AZ;SU
37477;B;5528;2.01.1995;02.00;D;N;25001;LJUBLJANA;28012;BRDNIKOVA ULICA;;C;HI;PR;O;R;AH;MO
37481;H;5530;2.01.1995;00.35;D;N;30026;LOGATEC;50;TRŽAŠKA CESTA;;C;HI;TO;O;N;AZ;MO
37482;L;5527;2.01.1995;16.00;D;N;25001;LJUBLJANA;27306;TACENSKA CESTA;;C;HI;ÈT;J;N;AH;SP
37487;B;5524;2.01.1995;23.40;D;N;25001;LJUBLJANA;24134;TOPNIŠKA ULICA;;R;HI;ÈT;M;R;AH;SP
37488;B;5543;5.01.1995;okt.50;D;M;3;MEJA A-VIÈ-ORMOŽ-MEJA RH;242;RADLJE;45;C;PV;BT;S;G;AH;SP
37490;B;5528;2.01.1995;21.okt;D;N;25001;LJUBLJANA;28349;ULICA ANDREJA KUMARJA;;C;HI;ÈT;O;R;AH;MO
37497;B;5538;4.01.1995;1.okt;D;N;38201;NOVO MESTO;29;KOŠTIALOVA ULICA;;R;HI;TO;V;R;AH;PP
37499;P;5536;3.01.1995;16.25;D;N;36004;BELTINCI;16;RAVENSKA CESTA;;C;OS;OP;J;N;AH;SU
37505;S;5536;4.01.1995;17.okt;N;L;94212;JULA MAROF-MURSKA SOBOTA;0;NI ODSEKOV;;Ž;PD;BT;O;R;AH;SU
37510;B;5517;5.01.1995;dec.25;D;N;17042;KOPER;126;ULICA VENA PILONA;;C;PD;BT;J;N;AZ;SU
37512;B;5564;5.01.1995;07.00;D;M;3;MEJA A-VIÈ-ORMOŽ-MEJA RH;246;MARIBOR(TEZNO)-HAJDINA;30;C;HI;ÈT;O;N;AH;SN
37513;B;5542;5.01.1995;19.45;N;M;003-3;SLOV. BISTRICA - HAJDINA;1290;SL.BISTRICA-HAJDINA;;C;HI;TO;S;N;AH;SN
37514;L;5542;5.01.1995;nov.30;N;M;003-3;SLOV. BISTRICA - HAJDINA;1290;SL.BISTRICA-HAJDINA;;C;PD;BT;S;N;AH;SN
37516;B;5521;5.01.1995;jul.30;N;M;010-1;POÈEHOVA - LENDAVA;314;POÈEHOVA-LENART;;C;HI;PR;S;N;AH;SL
37517;B;5565;5.01.1995;10.okt;N;M;10;ŠENTILJ - DEKANI;268;ŠENTILJ-PESNICA;;C;HI;OP;S;N;AH;SL
37518;B;5503;6.01.1995;15.00;D;M;010-8;DRAVOGRAD-DOBOVEC-MEJA RH;1274;CE(VZHODNA M.)-ŠENTJUR;26;C;PD;BT;O;N;AH;MO
37541;B;5548;6.01.1995;15.30;N;R;306;ŠEMPETER-MANÈE;1050;ŠTANJEL-MANÈE;;C;PV;TO;J;R;AZ;SU
37542;B;5564;4.01.1995;17.okt;N;R;348;MARIBOR-PTUJ;1292;MARIBOR-VURBERG-PTUJ;;C;SV;BT;O;R;AH;SU
37544;B;5550;3.01.1995;22.okt;D;N;50124;ZGORNJE POLJÈANE;9;ROGAŠKA CESTA;;C;SV;ÈT;J;R;AH;SU
37547;B;5550;6.01.1995;14.30;D;V;50103;ŠMARTNO NA POHORJU;0;NI ULIC;;P;PV;BT;O;N;AH;SL
37554;H;5564;6.01.1995;18.35;N;M;010-1;POÈEHOVA - LENDAVA;314;POÈEHOVA-LENART;;C;PR;BT;O;N;AH;MO
37556;B;5550;7.01.1995;sep.30;N;L;97006;SLOVENSKA BISTRICA ŠTUHEC;0;NI ODSEKOV;;C;HI;BT;J;N;MA;SL
37558;B;5550;7.01.1995;sep.15;D;N;50122;ZGORNJA POLSKAVA;22;ULICA POHORSKEGA BATALJON;;K;SV;ÈT;O;R;AH;PN
37567;B;5564;7.01.1995;19.20;N;R;361;HOÈE-POHORSKA VZPENJAÈA;1332;HOÈE-POHORSKA VZPENJACA;;C;PD;BT;J;N;AH;SN
37568;B;5564;7.01.1995;17.40;N;A;00A10;ŠENTILJ - DEKANI;34;ZAÈASNI PRIKLJ.V HOÈAH;;C;PV;NT;J;N;AH;SU
37581;B;5550;7.01.1995;19.55;D;N;50086;SLOVENSKA BISTRICA;7;KOLODVORSKA CESTA;;C;PV;TV;O;R;AH;SU
37582;B;5554;4.01.1995;15.15;N;M;010-8;DRAVOGRAD-DOBOVEC-MEJA RH;1277;ROGATEC-ROK;;C;HI;ÈT;J;N;AZ;SU
37584;B;5524;3.01.1995;6.okt;D;N;25001;LJUBLJANA;24219;AVŠIÈEVA CESTA;;C;HI;ÈT;M;N;AH;PN
37585;B;5527;1.01.1995;okt.30;D;M;1;KORENSKO SEDLO - BREGANA;371;LJ(OBVOZNICA-DEL.DOM);130;C;OS;NT;O;N;AH;MO
37586;B;5564;8.01.1995;16.45;D;N;64033;MARIBOR;258;LJUBLJANSKA ULICA;;R;PD;BT;O;N;AH;SU
37589;B;5562;1.01.1995;14.40;N;M;10;ŠENTILJ - DEKANI;286;CELJE-ARJA VAS;;C;SV;BT;O;N;AZ;MO
37590;B;5526;3.01.1995;15.45;D;R;371;LJUBLJANA-MEKINJE;1356;LJ(ŠMARTIN.)-ŠENTJAKOB;236;C;VR;ÈT;J;N;AH;SU
37592;L;5562;2.01.1995;18.35;N;M;10;ŠENTILJ - DEKANI;367;ŽALEC-ŠEMPETER;;C;HI;ÈT;J;G;AH;SU
