"Cestnoprometne nesreèe in udeleženci v nesreèah po: LOKACIJA, LETO ,"
"MERITVE"

" ";"2003";" ";" ";" ";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe";"Prometne nesreèe - SKUPAJ";"Prometne nesreèe s smrtnim izidom";"Prometne nesreèe s telesno poškodbo";"Prometne nesreèe z materialno škodo";"Število udeležencev - SKUPAJ";"Število udeležencev - mrtvi";"Število udeležencev s hudo telesno poškodbo";"Število udeležencev z lahko telesno poškodbo";"Število udeležencev brez poškodbe"
"Lokacija - SKUPAJ";41170;220;11456;29494;82644;242;1393;15310;65699;43004;254;12467;30283;86616;274;1391;17332;67619;31094;230;10079;20785;60937;258;1266;13048;46365;31569;233;10990;20346;62403;262;1220;14855;46066;30401;263;11151;18987;58959;293;1263;14774;42629;22783;200;8738;13845;44139;214;1068;11341;31516;20597;154;8435;12008;39604;171;1032;11082;27319;21347;127;7433;13787;40348;138;865;9451;29894;22913;129;7089;15695;42105;141;919;8754;32291;22035;122;6742;15171;39971;130;848;8300;30693;18904;116;6426;12362;34481;125;708;8034;25614;18251;97;6167;11987;33253;108;826;7394;24925
"Avtocesta";2009;20;463;1526;3828;21;79;678;3050;2409;15;504;1890;4508;21;57;807;3623;1696;24;403;1269;3199;26;49;592;2532;1851;22;444;1385;3631;28;62;687;2854;1757;23;447;1287;3488;30;54;712;2692;1519;9;386;1124;3090;9;50;565;2466;1503;15;475;1013;3025;20;55;725;2225;2290;13;468;1809;4270;18;58;670;3524;2077;13;425;1639;3982;16;60;647;3259;2052;18;423;1611;3760;20;59;632;3049;2040;14;419;1607;3708;16;44;568;3080;1820;11;360;1449;3406;16;51;548;2791
"V naselju";26217;67;6551;19599;53035;72;624;8565;43774;27300;82;7261;19957;55348;83;647;9698;44920;19469;76;5787;13606;38128;81;603;7244;30200;20167;86;6554;13527;40034;92;563;8637;30742;20014;84;7018;12912;38792;94;681;8976;29041;14968;72;5527;9369;28853;73;544;6958;21278;13602;61;5294;8247;26000;64;560;6720;18656;14015;57;4729;9229;26581;60;480;5852;20189;15675;47;4606;11022;28875;47;504;5463;22861;14922;41;4354;10527;27178;42;490;5107;21539;12725;50;4153;8522;23186;53;378;5057;17698;12402;37;4056;8309;22583;40;469;4680;17394
"Zunaj naselja";12944;133;4442;8369;25781;149;690;6067;18875;13295;157;4702;8436;26760;170;687;6827;19076;9929;130;3889;5910;19610;151;614;5212;13633;9551;125;3992;5434;18738;142;595;5531;12470;8630;156;3686;4788;16679;169;528;5086;10896;6296;119;2825;3352;12196;132;474;3818;7772;5492;78;2666;2748;10579;87;417;3637;6438;5042;57;2236;2749;9497;60;327;2929;6181;5161;69;2058;3034;9248;78;355;2644;6171;5061;63;1965;3033;9033;68;299;2561;6105;4139;52;1854;2233;7587;56;286;2409;4836;4029;49;1751;2229;7264;52;306;2166;4740

