FIOStevilkaZadeve;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY
463025;BREZ POŠKODBE;NOVA GORICA;21.06.2005;13;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;70;VOJKOVA CESTA;87;NARAVNO OKOLJE;OSTALO;BOČNO TRČENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459580824293;136531441521
443762;BREZ POŠKODBE;NOVA GORICA;23.02.2005;8;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;1;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OSTALO;JASNO;NEZNANO;SUHO;ZGLAJEN ASFALT / BETON;459580168553;136460630157
480427;BREZ POŠKODBE;NOVA GORICA;28.10.2005;16;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;1;NARAVNO OKOLJE;NEPRILAGOJENA HITROST;POVOŽENJE ŽIVALI;JASNO;NEZNANO;SUHO;HRAPAV  ASFALT / BETON;459580168553;136460630157
453130;LAŽJA TELESNA POŠKODBA;NOVA GORICA;5.05.2005;12;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;10;NARAVNO OKOLJE;NEPRILAGOJENA HITROST;POVOŽENJE PEŠCA;OBLAČNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;459580509752;136443850370
453432;BREZ POŠKODBE;NOVA GORICA;9.05.2005;12;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;20;ULICA VINKA VODOPIVCA;8;NARAVNO OKOLJE;PREMIKI Z VOZILOM;TRČENJE V STOJEČE / PARKIRANO VOZILO;OBLAČNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;459582598221;136598226761
478605;BREZ POŠKODBE;NOVA GORICA;15.10.2005;14;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;3;NARAVNO OKOLJE;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459580528821;136422692029
484217;BREZ POŠKODBE;NOVA GORICA;23.11.2005;17;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;3;NARAVNO OKOLJE;OSTALO;OSTALO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459580528821;136422692029
477423;LAŽJA TELESNA POŠKODBA;NOVA GORICA;7.10.2005;23;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;78;ULICA GRADNIKOVE BRIGADE;3;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;POVOŽENJE PEŠCA;DEŽEVNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;459581132090;136458413522
448862;BREZ POŠKODBE;NOVA GORICA;10.03.2005;15;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;14;KIDRIČEVA ULICA;9;NARAVNO OKOLJE;OSTALO;OPLAŽENJE;JASNO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;459582138332;136490254958
478289;BREZ POŠKODBE;NOVA GORICA;17.10.2005;11;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;20;ULICA VINKA VODOPIVCA;17;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459583786015;136622839486
440489;LAŽJA TELESNA POŠKODBA;NOVA GORICA;20.01.2005;8;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2500;CESTA;NEPRILAGOJENA HITROST;TRČENJE V OBJEKT;OBLAČNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;459582809699;136524297820
473008;LAŽJA TELESNA POŠKODBA;NOVA GORICA;2.09.2005;16;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2500;CESTA;NEPRILAGOJENA HITROST;TRČENJE V OBJEKT;OBLAČNO;NEZNANO;MOKRO;ZGLAJEN ASFALT / BETON;459582809699;136524297820
443891;BREZ POŠKODBE;NOVA GORICA;25.02.2005;7;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2500;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;OBLAČNO;NORMALEN;MOKRO;ZGLAJEN ASFALT / BETON;459582809699;136524297820
455214;BREZ POŠKODBE;NOVA GORICA;10.05.2005;9;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2500;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;OBLAČNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459582809699;136524297820
480887;BREZ POŠKODBE;NOVA GORICA;9.10.2005;2;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2500;CESTA;NEPRILAGOJENA HITROST;TRČENJE V OBJEKT;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;459582809699;136524297820
444126;BREZ POŠKODBE;NOVA GORICA;19.02.2005;13;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2500;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;OPLAŽENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459582809699;136524297820
446398;BREZ POŠKODBE;NOVA GORICA;16.03.2005;10;N;CESTA;GLAVNA CESTA II. REDA;103;PERŠETI-N.GORICA-ŠEMPETER;1010;SOLKAN-NOVA GORICA;2500;CESTA;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;GOST;SUHO;ZGLAJEN ASFALT / BETON;459582809699;136524297820
443999;BREZ POŠKODBE;NOVA GORICA;2.03.2005;17;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;80;REJČEVA ULICA;12;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459581822370;136440722119
471483;LAŽJA TELESNA POŠKODBA;NOVA GORICA;3.09.2005;12;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;4;CANKARJEVA ULICA;12;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;OBLAČNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459582285651;136434260240
470071;LAŽJA TELESNA POŠKODBA;NOVA GORICA;25.08.2005;7;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;20;ULICA VINKA VODOPIVCA;15;NARAVNO OKOLJE;PREMIKI Z VOZILOM;BOČNO TRČENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;459585688076;136616214129
